epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,213.206,0.74583,0.31818,0.96061,0.97358,0.97174,0.9755,0.71821,1.05125,0.45903,1.09928,6.1152e-05,6.1152e-05,6.1152e-05
42,376.487,0.7298,0.30796,0.95288,0.97151,0.97241,0.97259,0.71818,1.03308,0.45062,1.07696,5.53308e-05,5.53308e-05,5.53308e-05
43,542.659,0.71863,0.30273,0.95153,0.97427,0.96772,0.97169,0.72037,1.02951,0.44944,1.07598,4.95096e-05,4.95096e-05,4.95096e-05
44,708.972,0.71245,0.30021,0.94943,0.97379,0.96863,0.97246,0.71734,1.03802,0.46763,1.08488,4.36884e-05,4.36884e-05,4.36884e-05
45,873.956,0.70335,0.29646,0.94582,0.96776,0.97424,0.9717,0.71877,1.03612,0.46438,1.08136,3.78672e-05,3.78672e-05,3.78672e-05
46,1040.08,0.69735,0.29362,0.94314,0.97199,0.96336,0.96987,0.71464,1.04248,0.47813,1.09327,3.2046e-05,3.2046e-05,3.2046e-05
47,1202.24,0.68908,0.28943,0.93882,0.97148,0.9705,0.96706,0.7155,1.03252,0.46721,1.07508,2.62248e-05,2.62248e-05,2.62248e-05
48,1364.25,0.68538,0.28801,0.93535,0.97061,0.96909,0.96977,0.71468,1.03706,0.47599,1.08617,2.04036e-05,2.04036e-05,2.04036e-05
49,1526.11,0.68234,0.2875,0.93546,0.97208,0.97027,0.9728,0.71783,1.03797,0.47408,1.07802,1.45824e-05,1.45824e-05,1.45824e-05
50,1687.88,0.675,0.2829,0.93083,0.97057,0.97263,0.97161,0.71747,1.03997,0.4686,1.07957,8.7612e-06,8.7612e-06,8.7612e-06
